Census year,Occupation,Total Weight,multirace,aian,white,hispanic,asian,black
1880,waitstaff,37214.100000000166,0.0,0.0006747442501632416,0.5014424640122965,0.006480876871938298,0.009605767706326327,0.4817961471592755
2000,economist,136159.0,0.018441674806659862,0.002761477390403866,0.8131816479263214,0.04446272372740693,0.07496382905279857,0.046188647096409345
2005,draftsperson,230541.0,0.01254440641794735,0.01096551155759713,0.8076133963156228,0.08464437995844556,0.046382205334409066,0.03785010041597807
1960,setter,204880.0,0.0,0.00029285435376805933,0.9772549785240141,0.01181179226864506,0.0012690355329949238,0.009371339320577899
1880,therapist,826.2800000000001,0.0,0.0,0.8607009730357748,0.018008423294766904,0.0,0.12129060366945828
1950,clerical,3154631.0,1.4898731420568682e-05,0.0003452067769574318,0.9497713044726943,0.013085207112971375,0.002121008764575001,0.034662374141381354
2006,therapist,660748.0,0.009870631466156538,0.0030268725747183496,0.8165639547906313,0.05176254790025849,0.0498904272127952,0.0688855660554402
1930,dietitian,5942.460000000001,0.0,0.0,0.9794899755320187,0.0069129619719779335,0.0,0.013597062496003336
2013,cabinetmaker,70024.0,0.0058836970181652005,0.002884725237061579,0.7668513652462013,0.17679652690506112,0.019736090483262882,0.027847595110247914
1980,fireperson,416140.0,0.0003844859902917287,0.008170327293699237,0.8508674965155957,0.039698178497620994,0.006007593598308262,0.09487191810448407
2004,nutritionist,91111.0,0.004884152297746704,0.01673782529003084,0.7183984370712647,0.022939052364698006,0.08439156633117845,0.15264896664508126
2001,therapist,562223.0,0.006920741413994091,0.002694660303829619,0.8363940998500595,0.03939717869955516,0.03995745460431181,0.07463586512824982
2001,laborer,6867471.0,0.014242215220129797,0.008980016078699131,0.5873649848685201,0.24612641247411166,0.01897496181636588,0.12431140954217353
1950,instructor,118019.0,0.0,0.0,0.9542107626738068,0.007498792567298486,0.001974258382124912,0.036316186376769845
1980,mathematician,6860.0,0.0029154518950437317,0.0029154518950437317,0.8629737609329446,0.026239067055393587,0.043731778425655975,0.061224489795918366
2011,accountant,2447898.0,0.012825697802767926,0.003652521469440312,0.7239893165483202,0.06891749574532925,0.1065591785278635,0.08405578990627878
1960,cashier,827100.0,0.00045943658566074237,0.0006770644420263571,0.9434167573449401,0.023189457139402733,0.006117760851166727,0.02613952363680329
2002,compositor,87318.0,0.004386266291028196,0.011795964176916559,0.7510822510822511,0.07353581163104973,0.041320231796422274,0.11787947502233216
1930,official,3193972.909999998,0.0,0.00029527802100237627,0.9701684539334431,0.008075531861665047,0.006014910126460659,0.0154458260574289
1980,carpenter,1558900.0,0.0007697735582782732,0.010225158765796395,0.8770799923022644,0.052934761690935916,0.007235871447815768,0.05175444223490923
1910,physicist,100.0,0.0,0.0,1.0,0.0,0.0,0.0
1990,waitstaff,2047471.0,0.0006319991833828171,0.00761671349679678,0.8254168190904779,0.07239760660834757,0.040394222921838696,0.05354263869915618
2004,instructor,1380024.0,0.014141058416375368,0.003421679622963079,0.7775864767569259,0.0519773569155319,0.09388025135794739,0.05899317693025628
1950,smith,137532.0,0.0,0.0,0.9745222929936306,0.009154233196637874,0.0007998138615013233,0.01552365994823023
1970,lumberjack,264500.0,0.0003780718336483932,0.007939508506616257,0.8018903591682419,0.03100189035916824,0.0011342155009451795,0.15765595463137996
2010,weaver,14695.0,0.003402517863218782,0.0036747192922762842,0.681524328002722,0.05382783259612113,0.06226607689690371,0.19530452534875808
